"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","7177","fullscreen","0","8186","0.0-0.0","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","","","","","","",""
"","12176","instructions","1","20364","0.0-1.0","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","[{""page_index"":0,""viewing_time"":2585},{""page_index"":1,""viewing_time"":8396},{""page_index"":2,""viewing_time"":1195}]","","","","","","",""
"","","jsShapes","2","30903","0.0-2.0-0.0","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[0,1]","right","[1,3]","0","8066.79999999702","0.7537037037037038","2452"
"","","jsShapes","3","34270","0.0-2.0-0.1","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[0,1]","left","[2,0]","1","2305.5","0.8277777777777777","1058"
"","","jsShapes","4","38264","0.0-2.0-0.2","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[2,0]","right","[1,3]","1","2994.9000000059605","0.9222222222222223","976.2000000029802"
"","","jsShapes","5","42535","0.0-2.0-0.3","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[3,4]","left","[0,3]","1","3312.2000000029802","0.9444444444444444","956.5"
"","","jsShapes","6","45743","0.0-2.0-0.4","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[0,1]","right","[1,3]","0","2059.7000000029802","0.9518518518518518","1131.9000000059605"
"","","jsShapes","7","48868","0.0-2.0-0.5","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[0,1]","left","[4,0]","1","2214.5","0.9611111111111111","888.9000000059605"
"","","jsShapes","8","54868","0.0-2.0-0.6","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[3,0]","left","[0,4]","1","4869.79999999702","0.5388888888888889","1128.7999999970198"
"","","jsShapes","9","59341","0.0-2.0-0.7","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[1,4]","right","[1,2]","1","3441.2999999970198","0.9981481481481481","1023.8000000119209"
"","","jsShapes","10","63730","0.0-2.0-0.8","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[4,0]","left","[0,1]","1","3483.7999999970198","0.5407407407407407","902.8000000119209"
"","","jsShapes","11","66695","0.0-2.0-0.9","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[0,1]","left","[0,2]","0","1865.9000000059605","0.9685185185185186","1087.7000000029802"
"","","jsShapes","12","69383","0.0-2.0-0.10","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[0,1]","right","[2,1]","1","1705.7999999970198","0.9833333333333333","970.7000000029802"
"","","jsShapes","13","72647","0.0-2.0-0.11","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[4,2]","right","[1,3]","0","2367.0999999940395","0.9777777777777777","892.8000000119209"
"","","jsShapes","14","75369","0.0-2.0-0.12","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[2,2]","left","[3,0]","1","1840","0.9592592592592593","872"
"","","jsShapes","15","82314","0.0-2.0-0.13","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[2,4]","right","[1,0]","1","6095.79999999702","0.9740740740740741","846.9000000059605"
"","","jsShapes","16","85835","0.0-2.0-0.14","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[0,1]","right","[1,0]","0","2450.0999999940395","0.9851851851851852","1057.800000011921"
"","","jsShapes","17","88765","0.0-2.0-0.15","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","[0,1]","left","[0,3]","1","1846","0.9592592592592593","1071.7999999970198"
"","4093","survey-text","18","92865","0.0-3.0","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","","","","","{""worker_comments"":""""}","","",""
"","3429","instructions","19","96295","0.0-4.0","6634029edb43a7b3766d0f53","601c611eb7e30277bb2546d7","663406b2464ca3c00b2c5e8c","[{""page_index"":0,""viewing_time"":3428}]","","","","","","",""
"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","645839","fullscreen","0","646849","0.0-0.0","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","","","","","","",""
"","102550","instructions","1","749400","0.0-1.0","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","[{""page_index"":0,""viewing_time"":101526},{""page_index"":1,""viewing_time"":674},{""page_index"":2,""viewing_time"":350}]","","","","","","",""
"","","jsShapes","2","779153","0.0-2.0-0.0","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[0,1]","left","[1,0]","0","26596.70000000298","0.7782956058588548","3128.2999999970198"
"","","jsShapes","3","788578","0.0-2.0-0.1","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[2,3]","left","[1,0]","1","8169.399999991059","0.3308921438082557","1223.6000000089407"
"","","jsShapes","4","791493","0.0-2.0-0.2","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[3,0]","right","[1,3]","0","2698","",""
"","","jsShapes","5","796376","0.0-2.0-0.3","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[0,1]","right","[0,1]","1","3052.7000000029802","0.7569906790945407","1797.5999999940395"
"","","jsShapes","6","798358","0.0-2.0-0.4","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[1,2]","right","[1,0]","0","1759","",""
"","","jsShapes","7","800709","0.0-2.0-0.5","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[0,1]","left","[0,4]","0","449.3999999910593","0.6078561917443408","1896.7000000029802"
"","","jsShapes","8","802956","0.0-2.0-0.6","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[3,3]","left","[0,4]","1","2004.2000000029802","",""
"","","jsShapes","9","805822","0.0-2.0-0.7","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[0,1]","right","[1,2]","1","2660.8999999910593","0.6078561917443408","71.5"
"","","jsShapes","10","809488","0.0-2.0-0.8","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[0,1]","left","[2,0]","0","1913.7999999970198","0.5785619174434088","1723.2000000029802"
"","","jsShapes","11","820301","0.0-2.0-0.9","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[0,1]","right","[0,1]","0","9561.90000000596","0.6770972037283622","1242.2000000029802"
"","","jsShapes","12","822767","0.0-2.0-0.10","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[2,2]","right","[1,0]","1","2255.0999999940395","",""
"","","jsShapes","13","828365","0.0-2.0-0.11","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[4,0]","left","[3,0]","1","2458","0.8049267643142477","3127.2000000029802"
"","","jsShapes","14","830814","0.0-2.0-0.12","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[2,4]","right","[1,0]","0","2220.2000000029802","",""
"","","jsShapes","15","833046","0.0-2.0-0.13","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[3,4]","left","[4,0]","1","2015.199999988079","",""
"","","jsShapes","16","834580","0.0-2.0-0.14","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[0,1]","right","[1,4]","1","180.20000000298023","0.8768308921438083","1314.199999988079"
"","","jsShapes","17","856322","0.0-2.0-0.15","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","[0,1]","left","[3,0]","0","21527.60000000894","",""
"","1716","survey-text","18","858076","0.0-3.0","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","","","","","{""worker_comments"":""""}","","",""
"","1703","instructions","19","859784","0.0-4.0","6634029edb43a7b3766d0f53","641359b5040c453203e2c088","66340693dcb852892ee63a3f","[{""page_index"":0,""viewing_time"":1703}]","","","","","","",""
"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","2419","fullscreen","0","3435","0.0-0.0","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","","","","","","",""
"","38395","instructions","1","41829","0.0-1.0","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","[{""page_index"":0,""viewing_time"":16726},{""page_index"":1,""viewing_time"":18286},{""page_index"":2,""viewing_time"":3382}]","","","","","","",""
"","","jsShapes","2","51170","0.0-2.0-0.0","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[0,1]","right","[1,4]","0","5717.700000047684","0.9768518518518519","3605.5"
"","","jsShapes","3","61435","0.0-2.0-0.1","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[2,3]","right","[0,1]","0","10049.100000143051","",""
"","","jsShapes","4","72736","0.0-2.0-0.2","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[3,0]","left","[0,2]","1","9024.200000047684","0.4444444444444444","2258.2000000476837"
"","","jsShapes","5","82952","0.0-2.0-0.3","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[0,1]","left","[2,0]","0","8426.600000143051","0.41666666666666663","1782.0999999046326"
"","","jsShapes","6","97399","0.0-2.0-0.4","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[4,0]","left","[0,2]","1","12643.200000047684","0.49537037037037035","1797.0999999046326"
"","","jsShapes","7","108382","0.0-2.0-0.5","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[0,1]","right","[1,3]","1","9374.5","0.6759259259259259","1591.0999999046326"
"","","jsShapes","8","117449","0.0-2.0-0.6","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[0,1]","left","[4,0]","0","6915.799999952316","0.4467592592592593","2135"
"","","jsShapes","9","122747","0.0-2.0-0.7","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[2,4]","right","[0,1]","0","3783.5","0.42592592592592593","1509.4000000953674"
"","","jsShapes","10","129730","0.0-2.0-0.8","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[4,3]","left","[3,0]","1","5426.300000190735","0.47916666666666663","1550.1999998092651"
"","","jsShapes","11","137031","0.0-2.0-0.9","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[0,1]","right","[3,1]","1","5366.799999952316","0.787037037037037","1916.6000001430511"
"","","jsShapes","12","145814","0.0-2.0-0.10","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[0,1]","left","[0,1]","0","7415.799999952316","0.46759259259259256","1359.0999999046326"
