"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","false","[]","[]","[]","preload","0","40","0.0-0.0","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","","","","","","",""
"true","","","","","fullscreen","1","5799","0.0-1.0","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","4754","","","","","","","",""
"","","","","","instructions","2","96167","0.0-2.0","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","90368","[{""page_index"":0,""viewing_time"":6127},{""page_index"":1,""viewing_time"":58343},{""page_index"":2,""viewing_time"":14835},{""page_index"":3,""viewing_time"":7833},{""page_index"":4,""viewing_time"":3230}]","","","","","","",""
"","","","","","jsShapes","3","145421","0.0-3.0-0.0","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[4,0]","right","[0,1]","1","45191.200000047684","0.011111111111111072","4019.4000000953674"
"","","","","","jsShapes","4","219971","0.0-3.0-0.1","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[2,0]","left","[1,0]","0","66796.09999990463","1","7739.400000095367"
"","","","","","jsShapes","5","241159","0.0-3.0-0.2","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[0,1]","left","[0,2]","0","19909.5","1","1272.2999999523163"
"","","","","","jsShapes","6","255342","0.0-3.0-0.3","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[0,1]","right","[1,4]","0","12494","1","1685.7000000476837"
"","","","","","jsShapes","7","271506","0.0-3.0-0.4","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[0,1]","left","[4,0]","1","13392.5","1","2767"
"","","","","","jsShapes","8","296962","0.0-3.0-0.5","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[2,0]","right","[4,1]","0","22757.900000095367","0","2691.0999999046326"
"","","","","","jsShapes","9","306777","0.0-3.0-0.6","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[0,1]","right","[1,4]","0","7792.5","1","2014.5"
"","","","","","jsShapes","10","325766","0.0-3.0-0.7","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[4,3]","left","[0,1]","1","16005.299999952316","1","2971.2000000476837"
"","","","","","jsShapes","11","334465","0.0-3.0-0.8","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[0,1]","left","[3,0]","1","7307.5","1","1377.1999998092651"
"","","","","","jsShapes","12","350496","0.0-3.0-0.9","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[3,3]","right","[2,1]","0","14155.700000047684","0","1859.2000000476837"
"","","","","","jsShapes","13","363745","0.0-3.0-0.10","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[3,4]","left","[0,3]","1","11731.599999904633","1","1512.4000000953674"
"","","","","","jsShapes","14","368861","0.0-3.0-0.11","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[0,1]","right","[1,4]","0","3070.399999856949","1","2028.7000000476837"
"","","","","","jsShapes","15","373827","0.0-3.0-0.12","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[0,1]","right","[2,1]","1","3564.5","1","1391.7000000476837"
"","","","","","jsShapes","16","390208","0.0-3.0-0.13","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[4,0]","left","[1,0]","0","14499.199999809265","1","1874.3000001907349"
"","","","","","jsShapes","17","396400","0.0-3.0-0.14","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[0,1]","left","[0,1]","0","4298.699999809265","1","1887.9000000953674"
"","","","","","jsShapes","18","410947","0.0-3.0-0.15","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","","","[3,2]","right","[4,1]","0","12941.599999904633","0","1597.5"
"","","","","","survey-text","19","415985","0.0-4.0","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","5033","","","","","{""worker_comments"":""""}","","",""
"","","","","","instructions","20","419902","0.0-5.0","665ca2f40cef08da33075320","58bef6fd31de840001e84ba0","665dab28e2ac4b0ad6674879","3917","[{""page_index"":0,""viewing_time"":3916}]","","","","","","",""
"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","false","[]","[]","[]","preload","0","219","0.0-0.0","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","","","","","","",""
"true","","","","","fullscreen","1","12824","0.0-1.0","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","11600","","","","","","","",""
"","","","","","instructions","2","71066","0.0-2.0","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","58414","[{""page_index"":0,""viewing_time"":10154},{""page_index"":1,""viewing_time"":24614},{""page_index"":2,""viewing_time"":18749},{""page_index"":3,""viewing_time"":3778},{""page_index"":4,""viewing_time"":1119}]","","","","","","",""
"","","","","","jsShapes","3","94114","0.0-3.0-0.0","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[4,2]","right","[1,0]","0","17579.69999999553","0.36","5450.70000000298"
"","","","","","jsShapes","4","111763","0.0-3.0-0.1","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","left","[3,0]","1","14045.09999999404","0.19777777777777783","3599.3000000044703"
"","","","","","jsShapes","5","135744","0.0-3.0-0.2","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[2,4]","left","[4,0]","1","21722.89999999851","0.15333333333333332","2255.5"
"","","","","","jsShapes","6","148111","0.0-3.0-0.3","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","right","[4,1]","1","10575.19999999553","0.35111111111111115","1788.5"
"","","","","","jsShapes","7","158210","0.0-3.0-0.4","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[3,3]","right","[2,1]","0","8746.79999999702","0.36888888888888893","1349.5"
"","","","","","jsShapes","8","171076","0.0-3.0-0.5","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","left","[0,2]","0","11230.5","0.37111111111111106","1632.6999999955297"
"","","","","","jsShapes","9","183043","0.0-3.0-0.6","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[2,4]","left","[2,0]","0","10839.5","0.2088888888888889","1124.6000000014901"
"","","","","","jsShapes","10","192026","0.0-3.0-0.7","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","right","[1,2]","0","7304.39999999851","0.24222222222222223","1676.4000000059605"
"","","","","","jsShapes","11","230158","0.0-3.0-0.8","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[3,4]","left","[0,1]","0","36271.79999999702","0.19111111111111112","1857.5"
